"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2020","EQ","695.90","705.80","684.30","692.05","699.00","697.05","696.31","845.90","471.40","7,108,877","4,949,964,234.95","108,134"
"12-Aug-2020","EQ","675.00","694.00","672.65","674.80","693.95","692.05","684.17","845.90","471.40","4,355,483","2,979,896,810.50","80,575"
"11-Aug-2020","EQ","690.10","693.95","672.10","681.85","678.95","674.80","683.19","845.90","471.40","4,331,864","2,959,495,156.50","58,893"
"10-Aug-2020","EQ","668.00","687.35","662.70","662.45","684.00","681.85","675.92","845.90","471.40","5,362,306","3,624,493,927.40","78,293"
"07-Aug-2020","EQ","657.75","668.00","654.40","660.35","664.00","662.45","662.70","845.90","471.40","3,823,898","2,534,102,835.60","68,997"
"06-Aug-2020","EQ","656.00","666.85","649.15","648.55","660.50","660.35","658.15","845.90","471.40","8,644,011","5,689,067,464.65","98,737"
"05-Aug-2020","EQ","655.00","661.50","642.55","652.65","649.45","648.55","651.64","845.90","471.40","5,139,376","3,349,034,193.95","69,654"
"04-Aug-2020","EQ","675.00","676.65","650.20","673.60","654.80","652.65","657.23","845.90","471.40","5,559,111","3,653,595,371.05","112,475"
"03-Aug-2020","EQ","685.95","686.95","669.55","681.65","674.50","673.60","677.04","845.90","471.40","3,092,997","2,094,081,559.60","59,410"
"31-Jul-2020","EQ","678.45","685.45","673.50","674.75","681.95","681.65","679.96","845.90","471.40","3,114,816","2,117,960,428.70","65,788"
"30-Jul-2020","EQ","680.00","687.35","669.55","676.40","673.00","674.75","680.08","845.90","471.40","5,126,995","3,486,778,107.35","84,018"
"29-Jul-2020","EQ","686.95","695.25","671.00","684.35","674.50","676.40","678.15","845.90","471.40","5,436,739","3,686,922,107.65","94,097"
"28-Jul-2020","EQ","670.00","702.75","667.00","664.55","688.85","684.35","686.66","845.90","471.40","23,296,517","15,996,800,353.45","290,457"
"27-Jul-2020","EQ","657.00","671.75","642.80","652.60","663.50","664.55","662.97","845.90","471.40","11,522,408","7,638,956,469.75","146,680"
"24-Jul-2020","EQ","632.50","655.40","625.25","632.45","654.90","652.60","642.61","845.90","471.40","12,277,458","7,889,580,554.80","173,864"
"23-Jul-2020","EQ","612.95","634.60","607.00","617.95","634.20","632.45","623.58","845.90","471.40","5,038,614","3,141,989,143.00","79,873"
"22-Jul-2020","EQ","618.00","626.45","611.55","620.70","616.90","617.95","618.27","845.90","471.40","2,879,839","1,780,505,447.05","51,087"
"21-Jul-2020","EQ","630.00","631.80","615.35","622.85","620.00","620.70","621.74","845.90","471.40","4,218,958","2,623,087,942.80","75,159"
"20-Jul-2020","EQ","603.85","625.95","598.50","599.70","625.50","622.85","610.51","845.90","471.40","5,461,611","3,334,376,560.20","88,385"
"17-Jul-2020","EQ","604.35","604.35","590.20","599.40","600.00","599.70","597.66","845.90","471.40","3,307,397","1,976,692,356.25","60,615"
"16-Jul-2020","EQ","627.00","638.95","588.10","615.30","598.95","599.40","611.88","845.90","471.40","13,010,078","7,960,611,620.60","219,173"
"15-Jul-2020","EQ","604.00","630.00","602.00","598.30","615.00","615.30","620.56","845.90","471.40","11,907,668","7,389,428,219.55","163,399"
